"discount","gender","age","marital_status","education","city_level","purchase_power","original_unit_price"
1,"F","26-35","S",3,4,3,330
0,"F",">=56","M",3,2,3,79
1,"M","26-35","M",3,2,2,298
0,"F","26-35","M",2,3,2,150
1,"F","26-35","M",4,1,2,79.9
1,"M","26-35","M",3,4,1,78
1,"F","36-45","M",3,4,2,59
1,"F","16-25","S",3,2,2,79.9
0,"F","36-45","M",4,2,2,78
1,"F",">=56","S",3,3,3,25
1,"F",">=56","S",3,3,3,210
1,"F",">=56","S",3,3,3,0
1,"F",">=56","S",3,3,3,0
1,"F",">=56","S",3,3,3,230
0,"F","36-45","M",-1,4,-1,150
0,"F","26-35","S",2,3,2,0
0,"F","16-25","S",2,1,2,0
1,"M","26-35","S",4,-1,2,139
1,"F","26-35","U",-1,4,-1,49
1,"F","16-25","S",2,3,2,79
1,"F","26-35","M",2,4,2,78
0,"M","36-45","M",4,2,2,0
1,"F","16-25","M",4,4,2,89.9
1,"F","16-25","M",4,4,2,59.9
1,"F","16-25","S",3,4,2,59
0,"F",">=56","M",3,1,2,70
1,"F","46-55","M",4,1,2,191
0,"F","26-35","M",3,1,2,0
1,"F","26-35","M",3,2,2,89
1,"M","26-35","S",3,1,2,89
1,"M","26-35","M",3,4,2,89
1,"F","36-45","S",3,1,2,49
0,"F","16-25","M",-1,3,3,208
1,"F","16-25","S",3,1,2,69
1,"M","26-35","S",3,3,2,250
1,"M","26-35","S",3,3,2,59.9
1,"M","16-25","M",2,4,2,98
0,"M","16-25","S",3,4,3,30
0,"M","16-25","S",3,4,3,30
1,"M","16-25","S",3,1,2,250
1,"M","46-55","S",2,4,3,89
1,"F","16-25","S",-1,4,3,198
1,"M","26-35","M",3,-1,1,250
0,"M","26-35","U",-1,4,-1,0
1,"M","16-25","S",3,2,2,59.9
1,"F","26-35","M",4,2,2,139
1,"F","16-25","S",3,1,2,279
1,"M","26-35","S",3,2,3,59
0,"F","16-25","M",3,1,2,0
1,"F","26-35","M",3,1,2,65
1,"F","26-35","M",2,3,2,188
1,"M","26-35","M",3,2,3,59.9
1,"M","16-25","S",3,-1,3,89
1,"F","16-25","U",-1,-1,-1,78
0,"M","16-25","S",2,2,2,59
1,"F","16-25","S",3,3,3,268
1,"M","16-25","S",2,2,3,41.7
1,"F","26-35","S",3,1,2,336
1,"F","16-25","U",-1,3,-1,79
1,"M","16-25","S",2,2,2,79
1,"F","16-25","U",-1,2,-1,99
0,"F","16-25","U",-1,2,-1,0
1,"F","16-25","S",3,4,2,158
1,"F",">=56","S",-1,3,4,59.9
1,"M","26-35","M",3,3,2,355
1,"M","26-35","S",2,4,2,139
1,"F","16-25","S",2,4,3,78
1,"F","26-35","S",3,1,2,69
1,"F","26-35","S",4,1,3,78
1,"F","16-25","M",3,2,3,129
0,"F","16-25","M",3,2,3,0
0,"F","26-35","M",2,1,2,0
1,"F","26-35","M",2,1,2,69
0,"F","26-35","S",4,2,2,29.9
1,"F","26-35","S",3,2,2,245
1,"F","16-25","U",-1,-1,-1,53
1,"F","26-35","M",4,3,3,93.5
0,"F","26-35","S",2,3,3,99
1,"M","36-45","M",4,2,2,69
1,"M","36-45","M",3,4,2,79.9
1,"M","16-25","S",3,4,3,320
1,"M","26-35","M",3,4,2,139
0,"F","26-35","S",2,4,2,69
0,"F","26-35","S",3,2,2,145
0,"F","16-25","U",-1,2,-1,99
0,"F","16-25","U",-1,2,-1,0
1,"F","36-45","M",3,1,2,79.9
1,"F","26-35","S",3,2,3,118
1,"M","36-45","M",4,1,2,129
1,"F","36-45","M",4,1,2,250
0,"F","36-45","M",4,1,2,0
0,"M","26-35","M",3,1,2,0
0,"F","16-25","U",-1,3,-1,65
1,"F","16-25","U",-1,3,-1,60
1,"F","36-45","M",4,2,2,298
1,"F","36-45","M",4,2,2,240
0,"M","16-25","S",2,2,2,0
0,"M","36-45","S",2,1,2,0
1,"M","36-45","M",2,4,2,99
1,"F","26-35","M",3,2,3,298
1,"F","16-25","S",2,2,2,139
1,"F","26-35","M",3,2,3,99
1,"F","36-45","M",4,1,2,78
1,"M","36-45","S",4,4,2,139.9
1,"F","16-25","M",3,1,2,110
1,"F","16-25","M",3,1,2,139.9
1,"F","16-25","M",3,1,2,180
1,"F","16-25","M",3,1,2,79.9
0,"F","36-45","M",3,2,2,0
0,"F","36-45","M",3,2,2,0
0,"F","36-45","M",3,2,2,0
0,"F","36-45","M",3,2,2,0
0,"F","36-45","S",2,2,2,59
1,"F","26-35","S",3,1,2,79.9
1,"F","26-35","S",3,1,2,99.9
0,"F","26-35","M",2,4,-1,0
1,"F","26-35","M",3,3,3,148
1,"F","36-45","M",3,1,2,129
0,"F","36-45","M",3,1,2,0
1,"M","16-25","M",3,-1,2,298
1,"M","16-25","M",3,-1,2,178
