destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,car,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Accepted,ageActual
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,NA,never,never,NA,4~8,1~3,1,0,0,0,1,1,25
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,NA,never,never,NA,4~8,1~3,1,0,0,0,1,0,19
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,NA,never,never,NA,4~8,1~3,1,1,0,0,1,1,18
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,NA,never,never,NA,4~8,1~3,1,1,0,0,1,0,18
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,NA,never,never,NA,4~8,1~3,1,1,0,0,1,0,23
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,NA,never,never,NA,4~8,1~3,1,1,0,0,1,1,19
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,NA,never,never,NA,4~8,1~3,1,1,0,0,1,1,20
No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,NA,never,never,NA,4~8,1~3,1,1,0,0,1,1,24
No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2h,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,NA,never,never,NA,4~8,1~3,1,1,0,0,1,1,22
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,NA,never,never,NA,4~8,1~3,1,1,0,0,1,0,24
No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,NA,never,never,NA,4~8,1~3,1,0,0,0,1,1,22
No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,NA,never,never,NA,4~8,1~3,1,1,0,0,1,1,23
No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,NA,never,never,NA,4~8,1~3,1,1,0,0,1,1,22
Home,Alone,Sunny,55,6PM,Bar,1d,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,NA,never,never,NA,4~8,1~3,1,0,0,1,0,1,23
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,NA,never,never,NA,4~8,1~3,1,1,0,0,1,1,23
Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,NA,never,never,NA,4~8,1~3,1,0,0,0,1,0,22
Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,NA,never,never,NA,4~8,1~3,1,1,1,0,1,1,23
Work,Alone,Sunny,55,7AM,Bar,1d,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,NA,never,never,NA,4~8,1~3,1,1,1,0,1,0,20
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,NA,never,never,NA,4~8,1~3,1,1,0,0,1,1,18
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,NA,never,never,NA,4~8,1~3,1,0,0,1,0,1,17
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,NA,never,never,NA,4~8,1~3,1,0,0,0,1,0,26
Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,21,Unmarried partner,1,Some college - no degree,Unemployed,$37500 - $49999,NA,never,never,NA,4~8,1~3,1,1,0,0,1,1,21
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,NA,never,less1,4~8,4~8,less1,1,0,0,0,1,1,18
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,NA,never,less1,4~8,4~8,less1,1,0,0,0,1,0,21
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,NA,never,less1,4~8,4~8,less1,1,0,0,0,1,1,21
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,NA,never,less1,4~8,4~8,less1,1,1,0,0,1,0,23
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,NA,never,less1,4~8,4~8,less1,1,0,0,0,1,0,21
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,NA,never,less1,4~8,4~8,less1,1,1,0,0,1,0,24
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,NA,never,less1,4~8,4~8,less1,1,1,0,0,1,0,19
No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,NA,never,less1,4~8,4~8,less1,1,1,0,0,1,1,20
No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,NA,never,less1,4~8,4~8,less1,1,0,0,0,1,0,19
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,NA,never,less1,4~8,4~8,less1,1,1,0,0,1,1,23
No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,NA,never,less1,4~8,4~8,less1,1,0,0,0,1,0,22
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,NA,never,less1,4~8,4~8,less1,1,1,0,0,1,1,20
No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,NA,never,less1,4~8,4~8,less1,1,0,0,0,1,0,23
Home,Alone,Sunny,55,6PM,Bar,1d,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,NA,never,less1,4~8,4~8,less1,1,0,0,1,0,1,23
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,NA,never,less1,4~8,4~8,less1,1,1,0,0,1,0,19
Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,NA,never,less1,4~8,4~8,less1,1,0,0,0,1,0,22
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,NA,never,less1,4~8,4~8,less1,1,1,1,0,1,0,21
Work,Alone,Sunny,55,7AM,Bar,1d,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,NA,never,less1,4~8,4~8,less1,1,1,1,0,1,1,19
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,NA,never,less1,4~8,4~8,less1,1,1,0,0,1,0,21
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,NA,never,less1,4~8,4~8,less1,1,0,0,1,0,1,19
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,NA,never,less1,4~8,4~8,less1,1,0,0,0,1,1,20
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,NA,never,less1,4~8,4~8,less1,1,1,0,0,1,0,23
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,0,0,0,1,1,49
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,0,0,0,1,1,49
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,0,0,0,1,0,45
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,1,0,0,1,1,43
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,0,0,0,1,1,46
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,1,0,0,1,1,44
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,1,0,0,1,0,45
No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,1,0,0,1,1,48
No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,0,0,0,1,0,46
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,1,0,0,1,1,47
No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,0,0,0,1,1,48
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,1,0,0,1,1,44
No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,0,0,0,1,1,43
Home,Alone,Sunny,55,6PM,Bar,1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,NA,never,4~8,1~3,1~3,never,1,0,0,1,0,0,48
