product,country,date,sales,expenses
d,Germany,2020-01-31,919.3878610321312,690.821429807913
j,japan,2020-10-27,923.9089092488886,731.135011400003
c,Canada,2020-02-02,936.0799162867107,697.2733550084546
c,Germany,2020-10-20,921.4343836743848,664.8359604683708
g,Canada,2020-11-22,947.4947720642836,728.4732203079459
i,Canada,2020-04-15,932.5800620374812,671.3740501536176
b,Canada,2020-06-28,908.488575507264,697.5642876518081
g,Canada,2020-04-11,918.5421538711182,690.3915705656764
i,US,2020-02-29,918.1627392474126,735.5452421273949
a,Germany,2020-06-30,935.487412565129,714.6922156745333
d,US,2020-05-26,916.0124889126009,749.0272112985626
a,japan,2020-02-29,933.0659324443479,678.4650399835318
d,japan,2020-07-28,931.7191481381757,722.7776862735482
d,Canada,2020-12-27,905.4966836110924,673.711751325267
c,Canada,2020-10-23,929.530174050493,698.0430577644873
f,US,2020-10-22,894.1547518088213,670.1484233807267
a,US,2020-05-27,918.1172914291794,736.0326059469662
b,japan,2020-04-28,928.6081042681866,694.8859982094585
f,Canada,2020-10-24,915.4338618105747,723.3875824972504
a,Germany,2020-03-29,919.9475493737501,719.8682599300863
j,japan,2020-07-25,922.56343576814,706.7237252006139
f,US,2020-02-17,930.8666096746167,710.0160655711984
d,japan,2020-01-12,930.1328274394118,729.117757670528
d,US,2020-08-15,923.9201606714204,726.329187090321
j,japan,2020-11-01,931.2279744852162,728.9176511433103
f,japan,2020-11-19,920.5262490419451,723.556130937225
h,Canada,2020-02-19,934.0527460889116,740.491568723798
g,Canada,2020-05-30,910.0875737751222,701.7446044802398
g,US,2020-05-19,915.3983765782015,701.5603185979039
f,Germany,2020-01-04,897.5178904883303,648.6880320306451
d,japan,2020-04-21,923.5346442998165,682.0178814719933
h,Germany,2020-05-29,922.9807336962498,726.4435422124959
c,japan,2020-01-22,907.879666128198,759.9201467165539
f,Canada,2020-09-04,934.410264954823,751.7378225220132
i,Germany,2020-10-26,907.9942054060057,726.5839658281326
g,japan,2020-06-08,912.31507133573,712.2524435899969
i,japan,2020-10-27,904.7292440174242,722.2886118772086
f,Canada,2020-04-28,899.8788363641896,712.0389356472725
e,Canada,2020-03-04,940.4832805561399,744.1880849935791
d,Canada,2020-01-18,908.5989149655964,751.805303394597
c,Canada,2020-09-17,895.8720412438034,723.25073679172306
f,japan,2020-09-14,911.2591551389415,756.8601108372111
j,US,2020-09-23,925.0738029223595,718.4559846140759
i,Canada,2020-12-06,930.9854524647657,730.0723946033589
d,japan,2020-11-15,927.6741422811783,752.1827328911014
f,Germany,2020-05-04,924.8232590521316,725.1769671255184
a,Germany,2020-08-30,922.8137901510469,701.5081186198707
c,japan,2020-05-19,923.9974788274068,705.7127651155691
g,japan,2020-07-13,932.1152409064067,747.5979913605967
j,japan,2020-05-28,917.0961620948302,661.2088300957591
c,Germany,2020-10-14,901.2344111950129,687.1218979899866
e,japan,2020-02-18,925.5457570023275,669.7193015273391
e,japan,2020-03-01,956.5108658152848,703.4029272253204
j,Germany,2020-02-24,949.31248390733,746.1076576168643
e,japan,2020-02-06,921.6830261317916,713.202880959905
a,Germany,2020-09-23,953.9729851800129,698.9938618034897
