Limit_Bal,Education,Marriage,Age,Pay_0,Bill_Amt1,Pay_Amt1,Payment,Card
20000,University,married,24,Delay2,3913,0,Missed,Normal
120000,University,single,26,ontime,2682,0,Missed,Normal
90000,University,single,34,Delay0,29239,1518,Paid,Normal
50000,University,married,37,Delay0,46990,2000,Paid,Normal
50000,University,married,57,ontime,8617,2000,Paid,Gold
50000,Graduate school,single,37,Delay0,64400,2500,Paid,Gold
500000,Graduate school,single,29,Delay0,367965,55000,Paid,Gold
100000,University,single,23,Delay0,11876,380,Paid,Normal
140000,High school,married,28,Delay0,11285,3329,Paid,Normal
20000,High school,single,35,unknown,0,0,Paid,Gold
200000,High school,single,34,Delay0,11073,2306,Paid,Normal
260000,Graduate school,single,51,ontime,12261,21818,Paid,Normal
630000,University,single,41,ontime,12137,1000,Paid,Normal
70000,University,single,30,Delay1,65802,3200,Missed,Gold
250000,Graduate school,single,29,Delay0,70887,3000,Paid,Gold
50000,High school,other,23,Delay1,50614,0,Paid,Normal
20000,Graduate school,single,24,Delay0,15376,3200,Missed,Gold
320000,Graduate school,married,49,Delay0,253286,10358,Paid,Gold
360000,Graduate school,married,49,Delay1,0,0,Paid,Normal
180000,Graduate school,single,29,Delay1,0,0,Paid,Normal
130000,High school,single,39,Delay0,38358,3000,Paid,Normal
120000,University,married,39,ontime,316,316,Missed,Normal
70000,University,single,26,Delay2,41087,2007,Missed,Normal
450000,Graduate school,married,40,unknown,5512,19428,Missed,Normal
90000,Graduate school,single,23,Delay0,4744,5757,Paid,Gold
50000,High school,single,23,Delay0,47620,1973,Paid,Gold
60000,Graduate school,single,27,Delay1,-109,0,Missed,Gold
50000,High school,single,30,Delay0,22541,1300,Paid,Normal
50000,High school,married,47,ontime,650,3415,Paid,Normal
50000,Graduate school,single,26,Delay0,15329,1500,Paid,Gold
230000,Graduate school,single,27,ontime,16646,17270,Paid,Normal
50000,University,single,33,Delay2,30518,1718,Missed,Gold
100000,Graduate school,single,32,Delay0,93036,3023,Paid,Gold
500000,University,married,54,unknown,10929,4152,Paid,Normal
