"TARGET","GENDER","MARRIAGE","CREDIT_LIMIT","AGE"
"NOT_PAID",2,1,20000,24
"NOT_PAID",2,2,120000,26
"PAID",2,2,90000,34
"PAID",2,1,50000,37
"PAID",1,1,50000,57
"PAID",1,2,50000,37
"PAID",1,2,5e+05,29
"PAID",2,2,1e+05,23
"PAID",2,1,140000,28
"PAID",1,2,20000,35
"PAID",2,2,2e+05,34
"PAID",2,2,260000,51
"PAID",2,2,630000,41
"NOT_PAID",1,2,70000,30
"PAID",1,2,250000,29
"PAID",2,3,50000,23
"NOT_PAID",1,2,20000,24
"PAID",1,1,320000,49
"PAID",2,1,360000,49
"PAID",2,2,180000,29
"PAID",2,2,130000,39
"NOT_PAID",2,1,120000,39
"NOT_PAID",2,2,70000,26
"NOT_PAID",2,1,450000,40
"PAID",1,2,90000,23
"PAID",1,2,50000,23
"NOT_PAID",1,2,60000,27
"PAID",2,2,50000,30
"PAID",2,1,50000,47
"PAID",1,2,50000,26
"PAID",2,2,230000,27
"NOT_PAID",1,2,50000,33
"PAID",1,2,1e+05,32
"PAID",2,1,5e+05,54
"PAID",1,1,5e+05,58
"PAID",1,2,160000,30
"PAID",1,1,280000,40
"PAID",2,2,60000,22
"NOT_PAID",1,2,50000,25
"PAID",1,2,280000,31
"PAID",1,2,360000,33
"PAID",2,2,70000,25
"PAID",1,2,10000,22
"PAID",2,1,140000,37
"PAID",2,2,40000,30
"NOT_PAID",1,2,210000,29
"NOT_PAID",2,2,20000,22
"NOT_PAID",2,2,150000,46
"PAID",1,2,380000,32
"PAID",1,2,20000,24
"NOT_PAID",1,2,70000,42
"PAID",2,3,1e+05,43
"PAID",2,1,310000,49
"PAID",2,2,180000,25
"PAID",2,2,150000,29
"PAID",2,1,5e+05,45
"PAID",2,1,180000,34
"PAID",2,1,180000,34
"PAID",2,2,2e+05,34
"PAID",2,1,4e+05,29
"NOT_PAID",2,1,5e+05,28
"PAID",1,1,70000,39
"NOT_PAID",1,2,50000,29
"NOT_PAID",2,1,50000,46
"PAID",2,1,130000,51
"NOT_PAID",1,1,2e+05,57
"NOT_PAID",1,1,10000,56
"PAID",2,2,210000,30
"PAID",2,2,130000,29
"PAID",1,2,20000,22
"PAID",1,2,80000,31
"NOT_PAID",1,2,320000,29
"PAID",2,1,2e+05,32
"PAID",2,2,290000,37
"PAID",1,2,340000,32
"PAID",1,2,20000,24
"PAID",1,2,50000,25
"PAID",2,1,3e+05,45
"NOT_PAID",2,2,30000,22
"NOT_PAID",2,2,240000,44
"PAID",2,3,470000,33
"PAID",2,2,360000,26
