genre,enteredCharts,twitterFollowers,artistSongs,labelSongs,daysAfterRelease
Deep House,0,1820,105,304,2
House,0,389,89,34,20
Trance,1,25141,231,781,23
Deep House,0,233,28,91,14
Deep House,0,168,104,121,16
Progressive House,0,64,642,2963,12
Deep House,0,604,36,4058,18
Progressive House,0,2525271,279,4689,3
Deep House,0,275,10,638,10
Electro House,0,33,9,107,16
Trance,0,270,4,52,2
Progressive House,0,118,857,58,20
Techno,0,204,126,91,17
Trance,0,262,272,1249,30
Electro House,0,102,197,1030,25
Dubstep,0,101316,916,1249,37
Deep House,1,2108,38,89,9
Progressive House,0,43320,495,3694,23
Techno,0,62,47,51,23
Electro House,0,1,1,22,9
Trance,0,33557,32,7,34
House,0,19,92,29,24
House,0,149,483,173,10
Techno,0,234,89,199,23
House,0,1164,21,9,13
Deep House,0,235,1161,216,24
Deep House,0,9,81,172,7
Trance,0,181,195,3068,2
House,0,2680,546,4689,37
Progressive House,0,1740,1,2,9
Trance,1,316,207,1786,30
House,0,962,51,22,2
Techno,0,1469,19,24,9
Deep House,0,229,6,87,9
House,0,2276,859,1105,16
Deep House,0,10,194,16231,19
Progressive House,0,128,249,26,9
House,0,402,39,89,19
Deep House,0,3694,156,17,16
Techno,0,26068,255,2572,16
Progressive House,0,1014,22,5,16
Techno,0,448,32,12,30
Techno,0,13486,297,8,20
Electro House,0,15034,29,319,2
Deep House,0,35,84,19,20
House,0,1624,48,66,13
Deep House,0,354,16,82,16
Deep House,0,477,15,3,9
Techno,0,13486,297,164,2
Trance,0,4666,42,430,16
Progressive House,0,176,55,202,3
Deep House,1,266,1,446,44
House,0,14380,74,5809,7
House,0,141,89,2963,17
Deep House,0,22163,58,91,33
Dubstep,1,32522,39,7,16
Deep House,0,15,161,35,19
Progressive House,1,43321,495,4689,9
Progressive House,0,206,124,340,16
Deep House,0,4438,82,1444,27
Trance,1,69654,488,401,37
Progressive House,0,29,154,1032,6
Electro House,0,1550,81,65,34
Techno,0,11,40,1041,9
House,0,17285,132,1030,25
Deep House,0,717,218,121,16
House,0,1076,132,19,20
Deep House,0,3694,156,218,9
House,0,98,272,1105,13
Progressive House,0,747,17,1680,13
Progressive House,0,1101,29,22,12
Progressive House,0,83,78,58,17
Techno,0,296,8,17,6
House,0,652,220,32,9
Techno,0,7,4,4,3
Techno,0,11,133,439,27
Techno,0,420,181,22,23
Deep House,0,1,71,208,7
Dubstep,0,196,242,905,12
Techno,0,19922,196,153,31
Techno,0,659,360,14,30
House,0,91852,328,58,6
House,0,52215,643,638,16
Progressive House,0,1020,183,31,16
Trance,1,9858,343,3694,51
Deep House,0,182,57,198,11
House,1,5232,2,38,23
Electro House,1,72106,46,3241,58
House,0,2276,859,179,33
Progressive House,0,1020,61,1214,13
Trance,0,689,24,3694,23
House,0,163,29,21,24
Trance,0,693,721,1680,13
Electro House,0,242,53,278,21
Trance,0,142,70,1680,13
Trance,0,5208,212,707,9
Techno,0,659,360,14,30
Progressive House,0,3483,37,28,16
Trance,0,67853,418,781,16
Trance,0,1123,202,1680,13
Techno,0,537,85,390,2
House,0,4,122,17,6
Techno,0,26068,255,992,8
House,0,972,18,16231,3
Deep House,0,2491,72,525,6
House,0,45,22,1041,16
Deep House,0,3,113,220,16
Deep House,0,16,22,25,2
Progressive House,0,3916,98,119,37
Techno,0,46,59,33,13
House,0,360,134,1071,20
Electro House,0,11,120,178,24
Deep House,0,576,26,5,23
Deep House,0,7,30,25,9
Techno,0,281,96,273,25
Electro House,0,450,45,21,30
Deep House,1,2596,26,150,2
House,0,15034,29,319,4
Deep House,0,9124,63,23,16
Trance,0,1114,51,401,9
Electro House,0,3,160,216,20
Deep House,0,57505,33,51,27
Techno,0,1010,174,223,9
Techno,0,7279,192,76,30
Electro House,0,23125,10,1680,20
House,0,1001,449,430,6
House,0,79102,65,186,10
Dubstep,0,451,3,2,27
House,0,2416,88,21,12
Deep House,0,31,125,4058,4
Techno,0,6553,28,38,17
House,0,30203,1926,1032,30
House,0,279,43,153,16
Deep House,0,17135,90,172,1
Deep House,0,417,133,8,16
Techno,0,433,18,35,20
House,0,25096,60,4689,34
Progressive House,1,1029,1,105,16
Trance,1,190,10,129,44
Progressive House,0,622,68,340,16
Deep House,0,912,21,11,11
Progressive House,0,117,17,992,1
Trance,0,390,20,8,9
Progressive House,0,7600,222,340,9
Trance,0,3867,289,52,23
House,0,57,20,1,9
Progressive House,0,206,28,1680,13
