"ShowId","Week","AirDate","PriorWeekMkt","Viewers"
1,1,2012-05-02,74,10000
2,1,2012-04-26,59,60000
3,1,2018-06-28,88,280000
4,1,2014-04-30,47,300000
5,1,2010-04-06,7,260000
6,1,2016-01-18,42,130000
7,1,2018-01-28,9,40000
8,1,2017-05-26,52,120000
9,1,2015-09-02,23,0
10,1,2014-02-10,31,60000
11,1,2019-11-16,12,230000
12,1,2016-03-27,46,190000
13,1,2014-01-31,28,220000
14,1,2011-12-12,48,190000
15,1,2018-08-04,86,380000
16,1,2016-03-11,12,170000
17,1,2011-11-03,34,50000
18,1,2013-01-11,70,160000
19,1,2016-12-07,83,70000
20,1,2019-09-27,8,140000
21,1,2013-05-04,48,70000
22,1,2010-09-13,8,90000
23,1,2019-06-12,64,240000
24,1,2010-03-29,12,80000
25,1,2017-09-26,36,90000
26,1,2011-09-17,48,160000
27,1,2014-02-02,43,90000
28,1,2010-06-20,80,80000
29,1,2014-03-09,51,240000
30,1,2018-08-08,6,360000
31,1,2017-05-10,22,190000
32,1,2011-01-30,54,0
33,1,2013-11-26,68,230000
34,1,2015-12-21,33,170000
35,1,2018-08-24,75,10000
36,1,2017-10-21,25,120000
37,1,2015-03-24,48,10000
38,1,2010-04-28,57,100000
39,1,2019-01-14,7,210000
40,1,2014-09-22,94,150000
41,1,2015-07-16,97,90000
42,1,2014-01-17,25,130000
43,1,2017-01-15,36,110000
44,1,2012-01-17,25,160000
45,1,2013-05-02,23,60000
46,1,2013-05-12,79,270000
47,1,2010-04-15,26,200000
48,1,2019-10-01,53,120000
49,1,2014-01-11,39,110000
50,1,2012-02-01,10,190000
51,1,2019-09-01,22,40000
52,1,2012-05-11,97,10000
53,1,2018-08-27,77,110000
54,1,2010-04-16,68,90000
55,1,2016-08-19,56,20000
56,1,2010-04-12,24,50000
57,1,2017-02-26,78,60000
58,1,2013-12-30,7,90000
59,1,2015-01-30,81,60000
60,1,2018-12-26,14,980000
61,1,2015-02-15,65,130000
62,1,2017-09-28,99,50000
63,1,2012-11-20,5,100000
64,1,2016-11-09,77,80000
65,1,2018-03-04,57,90000
66,1,2010-11-29,55,180000
67,1,2010-12-16,53,260000
68,1,2016-08-01,44,210000
69,1,2016-02-21,72,120000
70,1,2018-08-20,51,10000
71,1,2011-01-08,62,310000
72,1,2017-06-17,37,10000
73,1,2017-08-19,92,50000
74,1,2015-08-05,69,330000
75,1,2017-12-18,67,170000
76,1,2011-10-16,92,10000
77,1,2012-02-20,7,70000
78,1,2011-11-07,33,440000
79,1,2015-08-17,79,90000
80,1,2017-02-17,51,200000
81,1,2016-01-31,100,440000
82,1,2014-01-06,95,330000
83,1,2011-11-11,74,110000
84,1,2018-11-07,67,480000
85,1,2018-12-16,55,250000
86,1,2013-09-30,44,370000
87,1,2016-06-28,28,20000
88,1,2017-11-15,79,520000
89,1,2018-10-21,32,300000
90,1,2015-11-17,80,380000
91,1,2015-12-02,70,430000
92,1,2012-12-16,38,250000
93,1,2016-07-19,61,150000
94,1,2012-07-06,8,90000
95,1,2015-01-27,98,470000
96,1,2012-02-15,18,110000
97,1,2012-01-15,80,240000
98,1,2019-07-16,74,50000
99,1,2015-06-30,81,20000
100,1,2012-07-17,64,180000
101,1,2010-02-23,29,100000
102,1,2019-10-30,46,120000
103,1,2010-09-29,98,290000
104,1,2015-10-08,43,480000
105,1,2016-07-30,28,40000
106,1,2012-10-03,25,40000
107,1,2011-08-26,7,80000
108,1,2014-12-19,77,90000
109,1,2013-01-01,33,240000
110,1,2012-03-19,75,220000
111,1,2011-08-12,97,40000
112,1,2014-05-07,100,40000
113,1,2010-07-03,99,540000
114,1,2015-05-21,16,410000
115,1,2013-06-05,71,450000
116,1,2014-05-11,85,110000
117,1,2015-03-29,25,300000
118,1,2015-08-18,55,0
119,1,2014-02-03,17,170000
120,1,2010-06-07,20,200000
121,1,2014-07-31,67,70000
122,1,2016-11-06,35,150000
123,1,2011-01-07,95,150000
124,1,2018-04-18,96,30000
125,1,2011-09-01,97,40000
126,1,2012-12-19,29,130000
127,1,2015-01-26,69,70000
128,1,2013-06-23,30,120000
129,1,2013-11-18,26,270000
130,1,2012-08-20,49,280000
131,1,2015-12-02,97,200000
132,1,2011-03-04,22,170000
133,1,2012-08-12,67,250000
134,1,2016-01-13,16,40000
135,1,2012-01-20,86,30000
136,1,2017-01-13,21,60000
137,1,2010-11-03,51,70000
138,1,2015-09-24,21,200000
139,1,2015-11-22,12,250000
140,1,2017-01-15,76,550000
141,1,2011-10-29,37,180000
142,1,2016-06-13,92,160000
143,1,2014-09-20,47,80000
144,1,2014-05-10,45,270000
145,1,2015-12-01,17,60000
146,1,2012-08-13,33,170000
147,1,2019-06-18,10,0
148,1,2014-07-23,63,120000
149,1,2010-09-17,68,210000
150,1,2014-12-11,54,100000
151,1,2015-08-23,66,20000
152,1,2015-08-25,63,30000
153,1,2019-02-22,23,90000
154,1,2017-02-16,95,100000
155,1,2018-11-22,50,300000
156,1,2013-08-09,33,20000
157,1,2018-05-07,95,260000
158,1,2010-09-16,76,30000
159,1,2014-11-11,100,30000
160,1,2015-05-21,31,100000
161,1,2011-07-19,52,350000
162,1,2010-04-25,38,0
163,1,2011-01-22,71,250000
164,1,2011-05-30,80,340000
165,1,2011-09-09,97,140000
166,1,2017-11-24,23,330000
167,1,2010-12-04,74,60000
168,1,2014-07-22,46,70000
169,1,2011-11-02,50,160000
170,1,2011-08-12,67,140000
171,1,2016-04-21,83,40000
172,1,2012-05-01,79,240000
173,1,2010-06-12,65,580000
174,1,2019-10-30,10,90000
175,1,2019-04-23,90,180000
176,1,2013-10-23,18,200000
177,1,2018-03-21,76,140000
178,1,2014-10-22,12,130000
179,1,2016-05-09,63,210000
180,1,2018-12-18,86,50000
181,1,2017-02-10,33,160000
182,1,2015-12-04,88,60000
183,1,2014-11-05,41,70000
184,1,2010-01-14,71,10000
185,1,2014-08-19,7,330000
186,1,2012-11-28,49,150000
187,1,2011-08-31,66,50000
188,1,2018-06-17,24,180000
189,1,2014-04-05,19,150000
190,1,2012-01-25,85,30000
191,1,2019-02-19,57,60000
192,1,2019-05-12,92,60000
193,1,2017-09-06,58,70000
194,1,2011-03-01,49,170000
195,1,2014-07-26,51,10000
196,1,2014-01-01,57,50000
197,1,2016-07-13,51,60000
198,1,2012-10-09,57,560000
199,1,2015-10-23,49,160000
200,1,2018-08-16,71,90000
201,1,2010-03-17,12,30000
202,1,2016-05-15,31,190000
203,1,2014-03-05,23,10000
204,1,2016-07-04,62,60000
205,1,2016-12-21,28,50000
206,1,2019-08-31,52,220000
207,1,2016-02-14,29,70000
208,1,2011-02-04,56,120000
209,1,2018-08-24,100,20000
210,1,2015-04-04,97,110000
211,1,2015-03-31,86,180000
212,1,2016-01-29,87,160000
213,1,2011-02-05,66,0
214,1,2016-10-11,85,250000
215,1,2018-12-14,99,0
216,1,2017-04-14,72,10000
217,1,2015-12-20,81,50000
218,1,2019-03-25,12,110000
219,1,2018-02-11,98,50000
220,1,2018-09-10,31,90000
221,1,2015-11-05,21,230000
222,1,2010-09-24,82,90000
223,1,2019-04-07,32,220000
224,1,2012-06-11,46,60000
225,1,2018-02-26,80,170000
226,1,2018-02-21,59,60000
227,1,2017-01-15,15,270000
228,1,2015-05-01,91,70000
229,1,2012-12-03,69,250000
230,1,2011-12-05,77,320000
231,1,2017-02-16,30,230000
232,1,2018-08-14,89,20000
233,1,2013-02-14,65,40000
234,1,2013-06-26,19,20000
235,1,2014-04-01,34,120000
236,1,2014-11-02,72,270000
237,1,2019-10-08,35,220000
238,1,2017-06-04,27,150000
239,1,2013-08-26,6,140000
240,1,2010-01-28,87,130000
241,1,2011-01-11,35,180000
242,1,2015-02-18,92,150000
243,1,2016-03-31,71,320000
244,1,2012-04-14,6,30000
245,1,2011-01-04,83,490000
246,1,2018-06-01,80,30000
247,1,2015-10-26,88,260000
248,1,2017-08-10,88,20000
249,1,2014-03-16,100,180000
250,1,2017-11-09,36,100000
251,1,2017-12-17,40,60000
252,1,2011-11-02,59,280000
253,1,2018-03-25,38,390000
254,1,2013-12-29,60,10000
255,1,2017-01-08,35,70000
256,1,2011-04-21,94,70000
257,1,2010-05-01,85,480000
258,1,2014-08-05,21,60000
259,1,2015-01-06,37,230000
260,1,2011-07-06,18,10000
261,1,2016-06-15,32,220000
262,1,2014-06-13,68,20000
263,1,2014-02-23,70,260000
264,1,2011-06-20,14,200000
265,1,2013-12-25,39,30000
266,1,2014-06-21,52,210000
267,1,2012-02-08,94,30000
268,1,2010-08-23,55,270000
269,1,2010-12-02,84,140000
270,1,2019-02-10,11,700000
271,1,2011-09-01,66,150000
272,1,2014-10-10,74,10000
273,1,2010-12-07,35,40000
274,1,2012-07-18,87,80000
275,1,2019-08-30,44,0
276,1,2017-11-10,84,130000
277,1,2015-12-20,83,50000
278,1,2010-02-10,45,50000
279,1,2012-05-27,59,50000
280,1,2017-08-31,81,260000
281,1,2015-03-21,7,70000
282,1,2016-01-31,79,70000
283,1,2017-03-21,3,250000
284,1,2010-05-24,99,470000
285,1,2019-12-04,85,60000
286,1,2013-04-11,18,140000
287,1,2011-01-28,77,80000
288,1,2011-03-15,18,290000
289,1,2012-09-22,9,60000
290,1,2017-05-22,21,500000
291,1,2013-07-07,97,130000
292,1,2019-12-17,25,20000
293,1,2017-08-08,25,140000
294,1,2014-01-19,39,490000
295,1,2013-04-04,29,160000
296,1,2012-11-21,11,0
297,1,2019-08-05,64,180000
298,1,2016-09-09,15,30000
299,1,2018-01-14,15,70000
300,1,2019-01-01,47,220000
301,1,2013-07-22,7,60000
302,1,2011-09-01,32,210000
303,1,2010-05-26,54,70000
304,1,2012-03-13,44,20000
305,1,2017-10-03,32,0
306,1,2018-04-16,44,70000
307,1,2016-11-27,11,20000
308,1,2016-09-02,40,100000
309,1,2018-11-29,69,90000
310,1,2012-10-18,68,80000
311,1,2019-09-02,5,140000
312,1,2018-07-06,35,190000
313,1,2019-06-10,98,20000
314,1,2017-03-31,76,10000
315,1,2013-11-20,13,30000
316,1,2010-06-13,53,40000
317,1,2010-07-31,57,90000
318,1,2017-11-07,32,280000
319,1,2012-12-13,11,260000
320,1,2013-01-12,87,100000
321,1,2017-09-10,76,60000
322,1,2018-06-25,97,40000
323,1,2019-06-20,10,240000
324,1,2019-05-07,7,100000
325,1,2011-07-09,55,60000
326,1,2010-07-01,49,200000
327,1,2014-03-27,24,330000
328,1,2013-05-10,85,10000
329,1,2014-11-13,88,260000
330,1,2019-05-19,10,110000
331,1,2014-05-31,30,20000
332,1,2016-09-13,48,30000
333,1,2014-11-03,27,70000
334,1,2011-11-18,80,260000
335,1,2016-01-03,10,220000
336,1,2018-04-20,86,60000
337,1,2018-01-10,13,450000
338,1,2017-05-07,2,50000
339,1,2016-09-23,48,60000
340,1,2011-10-10,27,80000
341,1,2012-05-22,60,250000
342,1,2010-05-29,46,20000
343,1,2015-07-31,42,210000
344,1,2019-10-31,49,120000
345,1,2017-11-08,87,420000
346,1,2011-01-12,82,90000
347,1,2018-06-17,86,350000
348,1,2010-06-17,76,240000
349,1,2013-04-29,16,60000
350,1,2012-08-06,38,20000
351,1,2012-11-28,2,250000
352,1,2019-05-09,32,340000
353,1,2016-10-05,78,110000
354,1,2017-01-19,91,500000
355,1,2019-07-21,98,10000
356,1,2017-10-05,47,10000
357,1,2012-01-31,14,130000
358,1,2013-10-03,53,120000
359,1,2012-06-17,26,40000
360,1,2017-11-08,41,180000
361,1,2017-07-05,50,370000
362,1,2012-11-07,88,60000
363,1,2011-02-20,18,80000
364,1,2014-09-04,88,60000
365,1,2017-02-25,18,110000
366,1,2017-03-07,88,490000
367,1,2018-01-27,92,10000
368,1,2011-01-02,78,280000
369,1,2012-10-11,69,180000
370,1,2014-04-28,50,180000
371,1,2012-08-04,87,30000
372,1,2018-03-14,15,140000
373,1,2018-06-15,27,80000
374,1,2011-03-10,66,100000
375,1,2010-11-14,90,20000
376,1,2011-03-09,9,150000
377,1,2015-05-19,45,190000
378,1,2013-06-05,63,80000
379,1,2011-12-13,68,210000
380,1,2015-02-15,100,60000
381,1,2011-12-20,44,110000
382,1,2010-02-18,74,240000
383,1,2011-08-12,56,80000
384,1,2010-03-07,50,110000
385,1,2011-05-19,4,40000
386,1,2013-04-05,52,250000
387,1,2017-05-13,38,80000
388,1,2014-02-16,37,310000
389,1,2015-03-29,100,130000
390,1,2011-03-02,25,30000
391,1,2016-09-14,87,60000
392,1,2019-10-30,49,210000
393,1,2016-11-28,95,520000
394,1,2010-12-14,21,40000
395,1,2016-12-22,73,60000
396,1,2013-07-09,99,390000
397,1,2015-08-25,78,0
398,1,2018-09-04,15,120000
399,1,2017-01-02,67,0
400,1,2019-05-26,92,260000
401,1,2015-10-17,8,20000
402,1,2019-10-26,36,130000
403,1,2015-12-27,2,140000
404,1,2018-05-29,53,0
405,1,2017-09-07,89,280000
406,1,2013-05-13,65,260000
407,1,2010-07-06,62,160000
408,1,2011-01-09,58,280000
409,1,2010-08-11,77,60000
410,1,2019-04-29,77,50000
411,1,2013-07-28,20,120000
412,1,2015-12-05,71,50000
413,1,2019-05-26,12,250000
414,1,2016-11-15,15,30000
415,1,2013-12-11,60,40000
416,1,2011-04-14,39,160000
417,1,2014-10-13,80,100000
418,1,2014-11-15,3,100000
419,1,2012-02-05,72,340000
420,1,2017-02-19,85,50000
421,1,2012-07-25,71,50000
422,1,2011-12-25,54,420000
423,1,2011-04-16,73,0
424,1,2018-01-11,63,360000
425,1,2011-09-06,66,180000
426,1,2015-11-13,65,90000
427,1,2010-05-01,42,110000
428,1,2013-12-24,2,110000
429,1,2011-09-05,77,110000
430,1,2018-04-05,24,40000
431,1,2019-06-15,4,10000
432,1,2011-04-26,52,150000
433,1,2016-05-23,48,80000
434,1,2018-03-27,82,160000
435,1,2012-02-17,97,110000
436,1,2014-04-18,90,430000
437,1,2017-12-09,75,120000
438,1,2011-12-30,5,160000
439,1,2013-02-10,15,30000
440,1,2014-05-11,84,110000
441,1,2010-10-31,26,580000
442,1,2017-02-01,19,370000
443,1,2018-09-01,55,20000
444,1,2013-09-24,66,330000
445,1,2017-02-26,63,100000
446,1,2010-10-01,26,70000
447,1,2016-03-17,38,290000
448,1,2014-08-07,56,0
449,1,2014-02-15,84,60000
450,1,2017-04-30,19,130000
451,1,2015-05-02,84,180000
452,1,2014-01-19,13,70000
453,1,2011-05-21,88,370000
454,1,2011-07-13,84,390000
455,1,2018-06-06,64,170000
456,1,2011-07-28,70,110000
457,1,2015-09-06,100,150000
458,1,2016-02-27,24,70000
459,1,2017-12-08,60,40000
460,1,2016-06-25,34,0
461,1,2012-01-31,93,230000
462,1,2012-12-03,11,40000
463,1,2010-05-02,16,10000
464,1,2018-05-21,62,80000
465,1,2014-10-13,87,320000
466,1,2012-08-04,35,20000
467,1,2010-04-01,63,260000
468,1,2015-11-01,19,240000
469,1,2019-04-19,21,100000
470,1,2015-02-26,12,160000
471,1,2014-12-22,39,110000
472,1,2011-03-23,24,390000
473,1,2017-11-12,81,60000
474,1,2014-02-01,61,230000
475,1,2018-02-28,11,80000
476,1,2011-02-12,30,170000
477,1,2017-12-02,60,0
478,1,2016-10-07,25,50000
479,1,2017-09-24,66,110000
480,1,2013-06-29,19,210000
481,1,2015-01-14,100,230000
482,1,2015-09-12,81,260000
483,1,2016-10-06,55,180000
484,1,2016-07-21,47,90000
485,1,2015-12-18,75,250000
486,1,2012-04-09,83,90000
487,1,2017-01-28,14,140000
488,1,2016-07-07,70,0
489,1,2018-10-29,67,150000
490,1,2012-09-02,5,130000
491,1,2019-06-04,34,30000
492,1,2012-05-02,22,280000
493,1,2011-12-20,97,410000
494,1,2013-12-09,74,70000
495,1,2015-01-23,72,40000
496,1,2014-05-27,16,370000
497,1,2011-04-27,8,60000
498,1,2017-04-02,84,90000
499,1,2016-04-20,53,240000
500,1,2014-03-13,15,60000
501,1,2015-09-07,35,160000
502,1,2015-03-26,2,180000
503,1,2013-08-16,48,20000
504,1,2019-01-25,58,140000
505,1,2016-06-27,38,120000
506,1,2010-11-21,11,120000
507,1,2010-08-24,85,60000
508,1,2018-04-11,4,30000
509,1,2010-10-01,14,240000
510,1,2014-06-28,68,0
511,1,2012-09-01,2,60000
512,1,2019-11-23,54,70000
513,1,2011-10-21,7,180000
514,1,2011-10-25,90,30000
515,1,2019-03-30,95,320000
516,1,2017-02-09,70,340000
517,1,2012-02-14,61,90000
518,1,2010-11-01,17,230000
519,1,2017-06-05,51,110000
520,1,2016-05-16,11,360000
521,1,2013-12-11,74,80000
522,1,2018-10-16,65,200000
523,1,2013-07-23,8,60000
524,1,2011-12-25,7,250000
525,1,2011-05-20,85,60000
526,1,2019-06-29,44,110000
527,1,2012-05-14,38,190000
528,1,2013-08-19,20,510000
529,1,2013-07-06,69,110000
530,1,2013-03-23,28,190000
531,1,2012-11-28,14,60000
532,1,2016-12-13,49,170000
533,1,2015-05-11,7,30000
534,1,2019-12-15,79,70000
535,1,2015-10-28,21,80000
536,1,2016-05-13,8,70000
537,1,2014-10-25,4,10000
538,1,2013-08-13,26,310000
539,1,2018-02-02,16,270000
540,1,2015-02-17,68,140000
541,1,2016-10-06,68,20000
542,1,2014-07-17,77,0
543,1,2010-08-11,11,0
544,1,2014-11-19,55,40000
545,1,2016-04-28,25,70000
546,1,2012-07-07,38,120000
547,1,2014-09-30,47,80000
548,1,2012-07-13,62,70000
549,1,2014-03-09,76,60000
550,1,2014-11-02,91,400000
551,1,2012-04-30,18,390000
552,1,2010-03-10,87,160000
553,1,2016-02-01,93,50000
554,1,2011-10-15,49,120000
555,1,2010-12-16,85,100000
556,1,2016-01-09,38,140000
557,1,2014-06-10,8,50000
558,1,2018-11-25,16,70000
559,1,2013-06-25,89,70000
560,1,2016-07-13,68,220000
561,1,2019-10-28,14,40000
562,1,2017-11-19,95,140000
563,1,2010-09-22,12,50000
564,1,2011-06-04,50,140000
565,1,2017-02-25,99,60000
566,1,2019-08-13,78,30000
567,1,2013-07-27,40,110000
568,1,2016-12-28,65,80000
569,1,2014-08-09,90,100000
570,1,2014-10-13,60,180000
571,1,2012-08-17,7,130000
572,1,2011-04-04,77,250000
573,1,2013-09-21,37,110000
574,1,2010-02-13,49,120000
575,1,2019-08-25,51,110000
576,1,2016-12-23,50,260000
577,1,2011-10-09,5,90000
578,1,2010-05-02,71,350000
579,1,2017-10-17,54,110000
580,1,2018-08-06,15,190000
581,1,2011-02-04,83,80000
582,1,2016-04-06,47,60000
583,1,2011-12-09,93,210000
584,1,2010-08-03,18,110000
585,1,2014-05-11,39,60000
586,1,2017-04-11,9,10000
587,1,2015-10-21,12,0
588,1,2018-11-25,16,320000
589,1,2013-11-09,7,40000
590,1,2016-11-06,2,340000
591,1,2015-04-27,17,50000
592,1,2018-07-05,52,60000
593,1,2010-10-06,50,20000
594,1,2015-04-12,58,210000
595,1,2012-08-06,4,160000
596,1,2010-12-05,70,380000
597,1,2012-02-14,6,130000
598,1,2016-09-28,80,40000
599,1,2018-01-19,39,30000
600,1,2014-11-05,56,110000
601,1,2018-03-01,27,340000
602,1,2011-02-20,16,270000
603,1,2013-05-07,28,50000
604,1,2015-04-25,45,40000
605,1,2013-11-08,39,30000
606,1,2010-10-16,21,80000
607,1,2018-01-13,67,130000
608,1,2014-04-29,21,70000
609,1,2011-07-12,28,20000
610,1,2017-08-15,14,130000
611,1,2017-04-28,99,260000
612,1,2018-10-17,20,50000
613,1,2017-08-02,46,150000
614,1,2011-09-14,51,290000
615,1,2013-07-25,31,90000
616,1,2014-01-09,54,150000
617,1,2015-09-19,26,50000
618,1,2011-10-01,20,80000
619,1,2016-12-31,58,180000
620,1,2012-06-01,76,270000
621,1,2013-02-22,37,90000
622,1,2019-09-07,30,90000
623,1,2017-03-16,78,30000
624,1,2011-12-18,82,630000
625,1,2012-01-14,70,90000
626,1,2017-10-21,68,20000
627,1,2014-09-19,56,30000
628,1,2012-05-11,2,60000
629,1,2010-01-28,44,130000
630,1,2011-08-27,61,0
631,1,2010-03-17,61,230000
632,1,2016-09-26,92,250000
633,1,2018-03-15,6,40000
634,1,2015-11-30,45,70000
635,1,2018-06-08,12,60000
