"Income","Country","Age","Height","Location","Gender","Sales"
2093,"Sylvania",33,67,"Rural","Female",251
32976,"Freedonia",30,59,"City","Male",NA
4930,"Sylvania",18,67,"City","Male",683
2368,"Sylvania",24,63,"City","Female",697
80587,"Sylvania",21,60,"City","Male",903
56572,"Sylvania",74,64,"City","Female",735
37455,"Freedonia",45,73,"Rural","Male",NA
575055,"Sylvania",20,61,"City","Female",694
13572,"Freedonia",40,57,"City","Male",NA
355240,"Sylvania",29,66,"City","Male",684
2234,"Freedonia",53,70,"City","Male",NA
183283,"Sylvania",75,64,"City","Male",886
277315,"Freedonia",25,63,"City","Male",NA
18898,"Sylvania",33,67,"City","Male",789
45002,"Sylvania",46,64,"City","Male",794
27191,"Freedonia",93,67,"City","Female",NA
14300,"Freedonia",66,65,"City","Male",NA
15800,"Freedonia",62,62,"Rural","Female",NA
20107,"Sylvania",25,68,"Rural","Male",295
3009,"Sylvania",30,65,"City","Female",649
23672,"Freedonia",52,72,"City","Male",NA
9658,"Sylvania",23,60,"City","Female",675
62448,"Sylvania",43,59,"City","Female",780
211644,"Sylvania",21,64,"City","Female",594
11741,"Freedonia",49,65,"Rural","Female",NA
10606,"Sylvania",40,66,"City","Male",767
62580,"Sylvania",31,65,"City","Male",687
81260,"Freedonia",19,60,"Rural","Female",NA
55553,"Sylvania",55,66,"City","Female",814
57475,"Sylvania",81,64,"City","Female",827
33784,"Sylvania",77,69,"City","Male",-995
62263,"Sylvania",35,61,"City","Male",872
965031,"Sylvania",20,66,"City","Male",815
1557,"Freedonia",85,64,"Rural","Male",NA
60581,"Sylvania",32,68,"City","Female",543
97800,"Sylvania",36,68,"City","Male",772
10831,"Sylvania",30,68,"City","Female",612
61430,"Freedonia",25,63,"Rural","Female",NA
4312,"Sylvania",23,66,"City","Female",613
12709,"Sylvania",26,62,"City","Male",737
39158,"Sylvania",27,65,"Rural","Female",241
575194,"Freedonia",21,64,"Rural","Male",NA
12867,"Sylvania",36,67,"City","Male",756
79218,"Sylvania",25,63,"City","Female",606
12375,"Sylvania",67,68,"City","Male",800
17016,"Sylvania",60,62,"Rural","Male",387
2397,"Sylvania",21,64,"City","Female",615
8157,"Freedonia",47,65,"Rural","Male",NA
59579,"Sylvania",33,68,"City","Male",998
41334,"Sylvania",59,67,"City","Female",768
66424,"Freedonia",68,66,"Rural","Female",NA
10395,"Sylvania",61,60,"City","Male",879
7806,"Sylvania",31,66,"City","Female",648
565516,"Freedonia",31,66,"Rural","Male",NA
1570985,"Sylvania",41,67,"City","Male",697
43487,"Sylvania",23,67,"City","Female",568
10641,"Sylvania",63,65,"City","Male",873
197878,"Sylvania",29,63,"City","Male",713
524861,"Sylvania",19,64,"City","Female",595
742994,"Sylvania",22,61,"City","Female",545
116841,"Sylvania",44,68,"Rural","Male",348
4891,"Freedonia",62,63,"Rural","Female",NA
116587,"Sylvania",28,59,"City","Female",611
43216,"Sylvania",24,69,"City","Male",764
24205,"Freedonia",28,65,"Rural","Male",NA
75812,"Sylvania",81,60,"City","Male",927
118286,"Freedonia",18,60,"Rural","Male",NA
99630,"Sylvania",52,67,"City","Male",889
157574,"Sylvania",18,64,"City","Female",654
66809,"Freedonia",57,73,"Rural","Male",NA
9410,"Sylvania",47,70,"City","Male",769
78457,"Sylvania",33,69,"City","Female",625
108829,"Sylvania",40,66,"City","Female",630
90980,"Sylvania",24,63,"City","Female",573
16987,"Freedonia",73,60,"Rural","Female",NA
41749,"Freedonia",36,70,"City","Male",NA
55137,"Sylvania",25,59,"Rural","Male",291
31169,"Sylvania",29,68,"City","Female",609
1700,"Freedonia",43,63,"Rural","Male",NA
16965,"Sylvania",53,69,"City","Female",744
1162,"Freedonia",63,68,"Rural","Male",NA
20782,"Freedonia",42,62,"Rural","Male",NA
15470,"Sylvania",48,70,"City","Male",861
800,"Sylvania",42,65,"City","Male",789
150281,"Sylvania",31,66,"City","Female",637
11417,"Freedonia",50,65,"City","Female",NA
7061,"Sylvania",29,62,"City","Female",805
87822,"Sylvania",54,65,"Rural","Male",428
24619,"Freedonia",49,63,"Rural","Male",NA
282472,"Sylvania",30,62,"Rural","Female",203
20815,"Sylvania",110,61,"City","Female",981
3961,"Sylvania",21,67,"City","Female",669
32290,"Freedonia",25,66,"City","Male",NA
701,"Sylvania",57,70,"Rural","Female",215
9501,"Sylvania",21,69,"City","Male",-902
7043,"Freedonia",27,66,"City","Female",NA
6497,"Sylvania",22,65,"City","Female",-645
9842,"Sylvania",33,67,"City","Male",792
19250,"Freedonia",51,61,"Rural","Male",NA
134081,"Sylvania",34,71,"City","Male",825
1255,"Freedonia",28,66,"Rural","Female",NA
912024,"Sylvania",38,60,"Rural","Male",289
177016,"Sylvania",28,68,"Rural","Male",254
106039,"Sylvania",27,68,"City","Female",534
35095,"Sylvania",41,66,"City","Male",755
22447,"Sylvania",46,63,"City","Female",724
13656,"Freedonia",22,68,"Rural","Female",NA
3323,"Sylvania",84,71,"City","Male",1011
27262,"Sylvania",33,64,"City","Male",933
46341,"Sylvania",37,66,"City","Female",750
43185,"Sylvania",33,66,"Rural","Male",380
26569,"Sylvania",25,70,"City","Male",857
59368,"Sylvania",31,66,"City","Male",784
92153,"Sylvania",35,65,"City","Female",739
3566,"Freedonia",67,66,"Rural","Male",NA
30326,"Sylvania",31,64,"Rural","Male",379
10567,"Freedonia",41,67,"Rural","Male",NA
20492,"Sylvania",29,61,"City","Male",933
85196,"Sylvania",22,64,"City","Female",636
88887,"Sylvania",21,60,"Rural","Female",179
19735,"Sylvania",49,62,"City","Female",-787
98581,"Sylvania",41,65,"City","Male",945
5824,"Sylvania",23,62,"City","Male",641
58329,"Sylvania",53,64,"City","Female",697
1899,"Sylvania",19,68,"City","Male",753
34606,"Sylvania",48,67,"City","Female",860
5583,"Freedonia",45,66,"Rural","Female",NA
487812,"Sylvania",29,65,"City","Male",663
485656,"Sylvania",28,62,"City","Male",825
44096,"Sylvania",40,63,"City","Female",684
9108,"Sylvania",23,64,"City","Female",615
