Date,PotholeReports,Temperature,Humidity,WindSpeed,Rainfall,ExpectedWorkload
2019-11-21,254,65.2,37,2.2,NA,Low
2019-11-21,204,65.5,38,0.8,NA,Low
2019-11-21,173,66,39,1,NA,Low
2019-11-21,107,66.2,40,0.9,NA,Low
2019-11-21,78,66,36,2.3,NA,Low
2019-11-21,100,66.4,37,1.5,NA,Low
2019-11-21,181,66.6,35,1.3,NA,Low
2019-11-21,460,67.4,38,0.9,NA,Low
2019-11-21,930,67.6,37,1.1,NA,Low
2019-11-21,490,66.5,27,0.5,NA,Low
2019-11-21,339,63.5,24,1.2,NA,Low
2019-11-21,360,60.5,21,1.3,NA,Low
2019-11-21,449,58.3,23,1.4,NA,Low
2019-11-21,451,57.6,25,1.6,NA,Low
2019-11-21,447,57,26,2,NA,Low
2019-11-21,463,57.9,36,3.2,NA,Low
2019-11-21,484,58.8,54,4.2,NA,Low
2019-11-21,555,59.2,58,1.6,NA,Low
2019-11-21,862,59.4,66,1.4,NA,Low
2019-11-21,600,60,77,1.7,NA,Low
2019-11-21,426,60.3,79,1.5,NA,Low
2019-11-21,405,60.8,81,0.8,NA,Low
2019-11-21,398,60.9,83,1.5,NA,Low
2019-11-21,323,61.3,84,1,NA,Low
2019-11-22,328,61.8,87,1.1,NA,Low
2019-11-22,308,62.2,86,0.6,NA,Low
2019-11-22,262,62.9,86,1.5,NA,Low
2019-11-22,167,63.5,81,2.2,NA,Low
2019-11-22,89,63.8,79,2,NA,Low
2019-11-22,79,64,79,1.5,NA,Low
2019-11-22,70,64.3,82,2.1,NA,Low
2019-11-22,146,64.4,81,2.5,NA,Low
2019-11-22,219,64.2,79,2.1,NA,Low
2019-11-22,328,62.9,68,1.6,NA,Low
2019-11-22,334,60.4,57,1.6,NA,Low
2019-11-22,388,58.1,49,1.8,NA,Low
2019-11-22,479,55.7,41,1.3,NA,Low
2019-11-22,606,54,36,1.8,NA,Low
2019-11-22,611,52.7,35,1.3,NA,Low
2019-11-22,589,52.4,41,2.3,NA,Medium
2019-11-22,618,53.6,48,2.6,NA,Low
2019-11-22,572,54,51,2.5,NA,Low
2019-11-22,489,54.5,53,1.5,NA,Low
2019-11-22,385,55,52,2.3,NA,Low
2019-11-22,359,55.4,51,1.2,NA,Low
