Date,RentedBikeCount,Forecast,Temperature,Humidity,WindSpeed,RainfallNo0s,Season,RainfallCorrected,Weekday,HighBikeCount,RainfallTransform
2018-02-15,270,Normal,1.9000000000000004,14,4.3,,Winter,0.0,Thursday,False,
2018-09-23,1031,Silver,22.7,44,1.4,,Fall,0.0,Sunday,True,
2018-03-18,106,Normal,5.6,55,0.4,,Spring,0.0,Sunday,False,
2018-01-07,40,Normal,-6.6,58,0.7,,Winter,0.0,Sunday,False,
2018-11-09,0,Normal,11.3,88,3.7,,Fall,0.0,Friday,False,
2018-09-17,186,Normal,20.2,82,1.4,,Fall,0.0,Monday,False,
2018-09-08,322,Normal,16.2,70,0.3,,Fall,0.0,Saturday,False,
2018-07-03,906,Normal,29.2,66,1.4,,Summer,0.0,Tuesday,True,
2018-03-08,12,Normal,13.8,90,0.8,2.0,Spring,2.0,Thursday,False,0.6931471805599453
2018-03-11,596,Normal,17.8,28,1.9,,Spring,0.0,Sunday,True,
2018-05-09,2068,Silver,12.3,53,1.6,,Spring,0.0,Wednesday,True,
2018-06-10,2300,Silver,22.8,55,1.3,,Summer,0.0,Sunday,True,
2018-08-16,381,Normal,28.1,68,0.8,,Summer,0.0,Thursday,False,
2018-02-27,335,Normal,15.8,39,0.6,,Winter,0.0,Tuesday,False,
2018-08-13,231,Normal,28.2,88,0.2,1.0,Summer,1.0,Monday,False,0.0
2018-10-03,1040,Normal,14.5,74,0.4,,Fall,0.0,Wednesday,True,
2018-04-27,1922,Silver,11.6,58,1.4,,Spring,0.0,Friday,True,
2018-09-04,500,Normal,21.4,97,0.1,,Fall,0.0,Tuesday,False,
2018-06-02,264,Normal,17.8,69,1.1,,Summer,0.0,Saturday,False,
2018-02-05,39,Normal,-12.2,55,1.5,,Winter,0.0,Monday,False,
2017-12-09,431,Normal,2.9000000000000004,36,2.0,,Winter,0.0,Saturday,False,
2018-01-19,387,Normal,-3.0999999999999996,42,1.3,,Winter,0.0,Friday,False,
2018-06-25,1016,Normal,32.3,35,1.8,,Summer,0.0,Monday,True,
2018-08-28,411,Normal,25.9,79,1.7,,Summer,0.0,Tuesday,False,
2018-05-14,552,Normal,12.1,89,0.3,,Spring,0.0,Monday,True,
2018-02-06,32,Normal,-13.0,36,2.7,,Winter,0.0,Tuesday,False,
2018-03-14,1025,Normal,31.7,39,3.3,,Spring,0.0,Wednesday,True,
2018-08-03,1511,Silver,31.2,63,1.7,,Summer,0.0,Friday,True,
2018-01-28,38,Normal,-8.6,37,1.6,,Winter,0.0,Sunday,False,
2018-01-04,311,Normal,-3.8,39,1.7,,Winter,0.0,Thursday,False,
2018-07-02,72,Normal,23.4,98,0.4,1.0,Summer,1.0,Monday,False,0.0
2018-08-22,993,Normal,37.4,35,1.3,,Summer,0.0,Wednesday,True,
2018-02-17,103,Normal,5.7,21,1.4,,Winter,0.0,Saturday,False,
2018-02-08,39,Normal,-10.0,56,0.4,,Winter,0.0,Thursday,False,
2018-03-27,380,Normal,9.0,68,1.1,,Spring,0.0,Tuesday,False,
2017-12-11,212,Normal,-6.3,32,4.5,,Winter,0.0,Monday,False,
2017-12-14,170,Normal,-10.8,48,0.8,,Winter,0.0,Thursday,False,
2018-02-24,63,Normal,12.7,82,2.8,,Winter,0.0,Saturday,False,
2018-02-12,288,Normal,-4.1,36,4.4,,Winter,0.0,Monday,False,
2018-01-06,221,Normal,-6.8,49,1.4,,Winter,0.0,Saturday,False,
2018-11-06,0,Normal,15.3,63,1.2,,Fall,0.0,Tuesday,False,
2018-04-22,192,Normal,14.9,35,0.8,,Spring,0.0,Sunday,False,
2018-08-02,265,Normal,30.7,57,0.9,,Summer,0.0,Thursday,False,
2018-08-13,724,Normal,33.4,54,2.6,,Summer,0.0,Monday,True,
2018-11-09,0,Normal,12.9,66,3.6,,Fall,0.0,Friday,False,
2018-01-02,208,Normal,-2.4000000000000004,50,1.9,,Winter,0.0,Tuesday,False,
2018-03-14,309,Normal,23.7,73,2.2,,Spring,0.0,Wednesday,False,
2018-07-24,671,Normal,34.5,50,1.4,,Summer,0.0,Tuesday,True,
2018-09-20,1786,Silver,19.1,77,2.5,,Fall,0.0,Thursday,True,
2018-09-28,0,Normal,20.3,52,1.3,,Fall,0.0,Friday,False,
2018-09-22,96,Normal,18.9,88,0.8,,Fall,0.0,Saturday,False,
2018-08-05,983,Normal,28.0,82,1.4,,Summer,0.0,Sunday,True,
2018-04-21,1292,Normal,16.7,28,1.0,,Spring,0.0,Saturday,True,
2018-10-16,1216,Normal,10.2,68,0.4,,Fall,0.0,Tuesday,True,
2018-08-01,1046,Normal,32.3,67,1.0,,Summer,0.0,Wednesday,True,
2018-11-29,726,Normal,3.0,59,1.1,,Fall,0.0,Thursday,True,
2018-11-23,1101,Normal,5.4,19,0.5,,Fall,0.0,Friday,True,
