Gender,Amount,MPHover,Age,OutTown,OutState,Police
female,,14,22,1,0,local police
female,,15,43,1,0,local police
female,,15,32,0,0,local police
male,,13,24,1,0,local police
male,,12,54,1,0,local police
male,,17,30,1,0,local police
female,,15,18,0,0,local police
male,,15,53,0,0,local police
female,,15,51,1,0,local police
male,,15,33,1,0,local police
male,,13,48,1,0,local police
male,,11,36,1,0,local police
female,,15,31,1,0,local police
female,,15,45,1,0,local police
female,,13,41,1,0,local police
male,,13,39,1,0,local police
male,50.0,28,22,1,0,local police
male,,14,54,1,0,local police
male,,12,28,1,0,local police
female,,14,46,1,1,local police
male,50.0,12,41,1,0,local police
male,,15,20,0,0,local police
male,,13,35,0,0,local police
female,,15,19,0,0,local police
male,,15,30,1,0,local police
male,,15,19,0,0,local police
female,,15,43,1,0,local police
male,,15,29,1,0,local police
male,,12,36,1,0,local police
male,,14,52,1,0,local police
male,,15,36,1,0,local police
male,,12,18,1,0,local police
male,,15,36,1,0,local police
male,125.0,15,20,1,0,local police
female,,14,46,1,0,local police
female,50.0,21,22,1,0,local police
male,,13,53,1,0,local police
female,,15,37,1,0,local police
female,,15,42,0,0,local police
male,,15,41,1,0,local police
female,,15,27,1,0,local police
male,50.0,16,43,1,0,local police
male,,13,29,1,0,local police
male,,12,18,1,0,local police
female,,15,20,1,0,local police
female,,15,43,1,0,local police
male,,15,60,1,0,local police
female,,15,50,0,0,local police
male,,13,39,1,0,local police
male,100.0,15,22,1,0,local police
male,,10,65,1,0,local police
male,,13,28,1,0,local police
female,,15,33,1,0,local police
male,,13,45,1,0,local police
female,175.0,20,60,1,0,local police
female,,13,19,1,0,local police
female,,15,22,1,0,local police
female,,14,20,1,0,local police
female,,15,28,1,0,local police
male,,18,36,1,0,local police
female,165.0,19,29,1,0,local police
female,,15,41,1,0,local police
male,,15,36,1,0,local police
male,175.0,20,42,0,0,local police
female,115.0,14,19,1,1,local police
male,75.0,5,19,1,0,local police
female,75.0,10,36,1,0,state police
female,145.0,17,53,1,0,local police
female,125.0,15,51,1,0,local police
female,75.0,10,49,0,0,local police
male,115.0,14,20,1,0,local police
male,125.0,15,47,1,0,local police
female,75.0,10,19,0,0,local police
male,215.0,24,25,1,0,local police
female,75.0,10,48,1,0,local police
male,75.0,10,20,0,0,local police
female,75.0,10,32,1,0,local police
male,75.0,10,47,0,0,local police
male,155.0,18,19,1,0,local police
male,125.0,15,55,1,0,local police
female,100.0,15,49,1,0,local police
male,135.0,16,26,1,0,local police
female,75.0,10,19,1,0,local police
male,275.0,30,31,1,0,state police
male,,15,21,1,0,state police
female,75.0,10,18,1,0,local police
female,75.0,10,41,1,0,local police
male,255.0,28,30,1,0,local police
male,75.0,10,25,1,0,local police
male,125.0,15,20,1,0,local police
male,125.0,15,18,0,0,state police
male,265.0,29,19,1,0,local police
male,175.0,20,50,1,1,local police
female,75.0,10,38,1,0,local police
female,115.0,14,50,1,0,local police
male,75.0,10,19,0,0,local police
male,175.0,20,25,1,0,local police
male,75.0,10,25,1,0,local police
male,75.0,20,38,1,0,state police
female,75.0,10,20,1,0,local police
male,75.0,10,24,1,0,state police
male,75.0,10,24,1,0,local police
female,75.0,10,45,1,0,local police
male,75.0,10,42,1,0,local police
male,75.0,20,18,1,0,local police
female,75.0,10,55,1,0,local police
female,75.0,10,19,0,0,local police
male,155.0,18,19,1,0,local police
female,75.0,10,44,0,0,local police
female,75.0,10,25,1,0,state police
female,75.0,10,20,1,1,local police
