Gender,Amount,MPHover,Age,OutTown,OutState,Police
female,75,18,26,1,0,local police
female,,18,55,0,0,local police
female,,14,44,1,0,local police
male,50,10,25,1,0,state police
male,,12,23,1,1,local police
male,,10,18,0,0,local police
male,105,13,64,1,0,state police
male,,15,71,0,0,local police
female,,10,21,1,0,local police
male,125,15,32,1,0,state police
male,,10,50,1,0,local police
male,,10,38,1,0,state police
female,,14,72,1,0,local police
male,145,17,24,1,0,state police
female,,10,32,1,0,local police
female,,14,24,1,0,local police
male,135,16,61,1,0,state police
male,,10,44,0,0,local police
male,,14,25,1,0,local police
male,75,5,52,1,1,state police
female,,19,51,0,0,local police
female,,14,18,0,0,local police
male,,12,34,1,0,local police
male,75,14,50,1,0,state police
female,235,26,25,0,0,local police
female,,13,28,0,0,local police
female,,10,68,0,0,local police
male,50,12,37,0,0,local police
male,,9,33,1,0,local police
male,125,18,20,1,0,state police
female,50,15,32,1,0,state police
female,,17,30,1,0,local police
male,215,24,33,1,1,state police
female,,5,30,1,1,state police
female,75,10,20,1,0,state police
female,115,15,36,1,0,state police
male,110,16,17,0,0,local police
male,,15,49,0,0,local police
male,,13,25,1,0,local police
male,,11,43,1,0,local police
male,115,14,46,1,0,local police
male,215,24,34,1,1,state police
male,,14,43,1,1,local police
male,,14,22,0,0,local police
male,175,20,23,1,0,state police
female,75,25,22,1,0,local police
male,,22,41,1,0,local police
female,185,21,61,1,0,local police
male,270,32,20,0,0,local police
female,,10,30,1,1,local police
male,175,20,22,1,1,local police
male,,11,19,0,0,local police
male,,9,37,1,0,state police
male,,21,35,1,0,local police
male,90,14,34,1,0,local police
male,,10,47,1,0,local police
female,,14,39,1,0,local police
male,50,18,19,1,0,local police
male,,11,28,1,0,local police
female,,17,45,1,0,local police
male,,16,67,0,0,local police
female,,10,21,0,0,local police
male,,15,66,1,0,local police
male,285,31,17,0,0,local police
male,,10,45,1,0,local police
female,175,29,36,1,0,local police
female,,17,42,1,0,local police
male,75,10,24,0,0,local police
female,,13,41,0,0,local police
male,75,10,18,1,0,state police
male,145,17,30,0,0,local police
female,,13,62,1,0,local police
female,,15,23,1,0,local police
male,,15,43,1,1,local police
female,,12,24,0,0,local police
female,155,18,28,1,1,local police
male,185,21,35,0,0,local police
male,,10,48,0,0,local police
male,50,16,39,1,0,local police
female,,13,44,0,0,local police
male,,8,36,1,0,state police
male,,10,35,1,1,local police
female,,16,23,1,0,local police
male,75,10,19,1,0,state police
male,,14,46,1,1,local police
male,,15,20,0,0,local police
male,130,18,29,1,1,local police
male,75,15,19,1,1,state police
female,,13,31,1,0,local police
male,135,16,39,1,0,local police
female,,9,44,0,0,local police
female,165,19,45,1,1,local police
female,185,21,34,1,1,state police
male,160,21,18,1,0,local police
male,205,23,39,1,0,state police
male,,21,30,1,0,state police
male,135,16,53,1,1,local police
male,,16,47,1,0,local police
male,145,17,59,1,0,local police
male,75,10,24,1,0,local police
male,50,10,32,1,0,local police
female,,20,38,1,1,local police
female,50,10,32,1,0,local police
male,215,24,21,1,0,local police
female,95,12,23,0,0,local police
female,,13,27,0,0,local police
male,245,27,20,1,0,local police
male,,18,40,0,0,local police
female,175,20,30,1,1,local police
female,175,20,48,0,0,local police
female,,15,70,0,0,local police
male,75,10,48,1,0,local police
male,,15,51,0,0,local police
male,75,10,29,1,0,state police
male,165,19,51,1,0,local police
male,120,27,41,1,0,local police
female,,9,48,0,0,local police
male,,12,31,1,0,local police
female,75,10,20,1,0,local police
male,,14,37,1,0,local police
male,,12,23,1,1,state police
female,165,19,22,1,1,state police
female,,23,34,1,1,local police
female,175,20,20,1,1,local police
male,,11,54,1,1,local police
female,105,13,41,1,0,state police
male,,5,52,0,0,local police
male,,13,61,1,0,local police
female,,15,19,0,0,local police
female,,11,54,1,0,local police
male,75,10,45,1,0,state police
male,50,28,22,1,0,local police
female,75,15,19,1,1,state police
male,,10,23,1,0,local police
male,,12,58,1,1,local police
male,,19,31,1,0,state police
female,,11,41,1,0,state police
female,,10,35,1,0,local police
male,125,15,17,1,1,local police
male,,19,31,1,1,local police
male,,13,40,0,0,local police
female,75,16,30,1,0,state police
male,,10,59,1,0,local police
male,175,15,33,1,0,local police
male,75,18,42,1,0,local police
male,160,21,36,1,1,local police
female,,15,18,0,0,local police
female,,10,60,1,0,local police
male,100,25,41,1,0,local police
male,75,29,18,0,0,local police
male,165,19,33,1,0,state police
female,,13,23,1,0,local police
male,75,10,42,1,0,local police
female,125,15,36,1,1,local police
male,,15,26,1,0,local police
male,,15,54,1,0,state police
male,75,10,42,0,0,local police
male,,10,21,1,0,state police
female,,11,46,1,0,local police
male,50,10,25,1,0,local police
female,,10,38,0,0,local police
female,175,20,28,1,1,state police
female,,10,41,1,0,state police
male,120,24,22,1,1,state police
female,75,10,21,1,1,local police
female,,16,29,1,0,local police
male,95,12,62,1,1,state police
female,,9,47,1,0,state police
