InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536381,21934,SKULL SHOULDER BAG,10,12/1/2010 9:41,1.65,15311,United Kingdom
536382,22379,RECYCLING BAG RETROSPOT ,10,12/1/2010 9:45,2.1,16098,United Kingdom
536388,22242,5 HOOK HANGER MAGIC TOADSTOOL,12,12/1/2010 9:59,1.65,16250,United Kingdom
536390,20668,DISCO BALL CHRISTMAS DECORATION,288,12/1/2010 10:19,0.1,17511,United Kingdom
536392,22128,PARTY CONES CANDY ASSORTED,12,12/1/2010 10:29,1.25,13705,United Kingdom
536396,20679,EDWARDIAN PARASOL RED,6,12/1/2010 10:51,4.95,17850,United Kingdom
536396,21871,SAVE THE PLANET MUG,6,12/1/2010 10:51,1.06,17850,United Kingdom
536399,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 10:52,1.85,17850,United Kingdom
536401,84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,3,12/1/2010 11:21,2.95,15862,United Kingdom
536408,22706,WRAP COWBOYS  ,25,12/1/2010 11:41,0.42,14307,United Kingdom
536409,21676,FLOWERS  STICKERS,6,12/1/2010 11:45,0.85,17908,United Kingdom
536412,22273,FELTCRAFT DOLL MOLLY,1,12/1/2010 11:49,2.95,17920,United Kingdom
536412,22570,FELTCRAFT CUSHION RABBIT,3,12/1/2010 11:49,3.75,17920,United Kingdom
536412,21710,FOLDING UMBRELLA PINKWHITE POLKADOT,1,12/1/2010 11:49,4.95,17920,United Kingdom
536412,22900, SET 2 TEA TOWELS I LOVE LONDON ,2,12/1/2010 11:49,2.95,17920,United Kingdom
536415,21977,PACK OF 60 PINK PAISLEY CAKE CASES,3,12/1/2010 11:57,0.55,12838,United Kingdom
536464,22945,CHRISTMAS METAL TAGS ASSORTED ,6,12/1/2010 12:23,0.85,17968,United Kingdom
536464,48173C,DOORMAT BLACK FLOCK ,1,12/1/2010 12:23,7.95,17968,United Kingdom
536488,21370,MIRRORED WALL ART FOXY,2,12/1/2010 12:31,6.35,17897,United Kingdom
536522,22632,HAND WARMER RED RETROSPOT,2,12/1/2010 12:49,2.1,15012,United Kingdom
536522,21124,SET/10 BLUE POLKADOT PARTY CANDLES,2,12/1/2010 12:49,1.25,15012,United Kingdom
536522,21121,SET/10 RED POLKADOT PARTY CANDLES,1,12/1/2010 12:49,1.25,15012,United Kingdom
536524,22697,GREEN REGENCY TEACUP AND SAUCER,6,12/1/2010 12:51,2.95,17572,United Kingdom
536525,20973,12 PENCIL SMALL TUBE WOODLAND,2,12/1/2010 12:54,0.65,14078,United Kingdom
536528,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,12/1/2010 13:17,1.95,15525,United Kingdom
536530,21664,RIDGED GLASS STORAGE JAR CREAM LID,2,12/1/2010 13:21,3.75,17905,United Kingdom
536531,21498,RED RETROSPOT WRAP ,25,12/1/2010 13:23,0.42,15485,United Kingdom
536532,22956,36 FOIL HEART CAKE CASES,12,12/1/2010 13:24,2.1,12433,Norway
