title,year,length,budget,rating,votes,genre,RatedR
'Til There Was You,1997,133,23,4.8,799,Comedy,Non_R_Rated
10 Things I Hate About You,1999,122,16,6.7,19095,Comedy,Non_R_Rated
100 Mile Rule,2002,140,1.1,5.6,181,Comedy,R_rated
13 Going On 30,2004,200,37,6.4,7859,Comedy,Non_R_Rated
"13th Warrior, The",1999,155,85,6.1,14344,Action,R_rated
15 Minutes,2001,123,42,6.1,10866,Drama,R_rated
1776,1972,145,4,7.3,1754,Drama,Non_R_Rated
2 Fast 2 Furious,2003,122,76,5.1,9556,Action,Non_R_Rated
20 Dates,1998,191,0.06,5.4,841,Comedy,R_rated
200 Cigarettes,1999,134,6,5.4,4514,Comedy,R_rated
2001: A Space Travesty,2000,123,26,2.5,2023,Comedy,R_rated
2046,2004,185,12,7.6,2663,Drama,R_rated
21 Grams,2003,125,20,8,21857,Drama,R_rated
"24 Hour Woman, The",1999,128,2.5,5.6,149,Comedy,R_rated
25th Hour,2002,182,15,7.8,15788,Drama,R_rated
28 Days,2000,122,43,6,7465,Drama,Non_R_Rated
3000 Miles to Graceland,2001,173,62,5.4,7298,Action,R_rated
40 Days and 40 Nights,2002,122,17,5.4,8609,Comedy,R_rated
50 First Dates,2004,126,75,6.8,13497,Comedy,Non_R_Rated
"51st State, The",2001,160,28,6.1,6752,Action,R_rated
54,1998,132,13,5.4,6905,Drama,R_rated
"6th Day, The",2000,140,82,5.9,12064,Action,Non_R_Rated
8 Mile,2002,129,41,6.8,17900,Drama,R_rated
AVP: Alien Vs. Predator,2004,148,45,5.4,14651,Action,Non_R_Rated
Abandon,2002,125,25,4.7,2364,Drama,Non_R_Rated
About Schmidt,2002,126,30,7.3,23279,Comedy,R_rated
About a Boy,2002,190,27,7.5,18318,Comedy,Non_R_Rated
Absolon,2003,121,8,4.1,548,Action,R_rated
Absolute Power,1997,138,50,6.4,7995,Drama,R_rated
"Abyss, The",1989,136,69.5,7.4,21987,Action,Non_R_Rated
Ace Ventura: Pet Detective,1994,123,12,6.2,20705,Comedy,Non_R_Rated
Ace Ventura: When Nature Calls,1995,133,30,4.9,15161,Comedy,Non_R_Rated
Adaptation.,2002,139,19,7.9,25140,Comedy,R_rated
"Adventures of Pluto Nash, The",2002,124,100,3.9,2543,Action,Non_R_Rated
"Adventures of Robin Hood, The",1938,132,1.9,8.2,7359,Action,Non_R_Rated
"Adventures of Rocky & Bullwinkle, The",2000,130,76,4.3,4815,Animation,Non_R_Rated
Affliction,1997,140,6,6.9,3679,Drama,R_rated
After the Sunset,2004,138,58,6,3431,Action,Non_R_Rated
Agent Cody Banks,2003,176,26,5.5,2655,Action,Non_R_Rated
Agent Cody Banks 2: Destination London,2004,236,26,3.8,919,Action,Non_R_Rated
Air Bud,1997,126,3,4.7,1276,Comedy,Non_R_Rated
Air Force One,1997,129,85,6.3,26156,Action,R_rated
Air Marshal,2003,139,0.5,3,81,Action,R_rated
"Alamo, The",2004,128,95,5.9,3060,Action,Non_R_Rated
"Alan Smithee Film: Burn Hollywood Burn, An",1997,142,10,3.2,1262,Comedy,R_rated
Albino Alligator,1996,128,5,6,2077,Drama,R_rated
Alexander,2004,125,150,5.5,11254,Drama,R_rated
Alferd Packer: The Musical,1996,141,0.125,7,2298,Comedy,R_rated
Alfie,2004,121,60,6,3492,Comedy,R_rated
Ali,2001,128,107,6.4,9294,Drama,R_rated
Alien: Resurrection,1997,124,70,6,24358,Action,R_rated
Aliens,1986,151,18.5,8.3,63961,Action,R_rated
All About the Benjamins,2002,161,14,5.4,1250,Action,R_rated
All the Pretty Horses,2000,133,45,5.6,3133,Drama,Non_R_Rated
All the Queen's Men,2001,123,25,5,353,Action,Non_R_Rated
All the Real Girls,2003,131,1,6.8,1745,Drama,R_rated
Almost Famous,2000,131,60,8,38648,Comedy,R_rated
Alone in the Dark,2005,133,20,2.1,2880,Action,R_rated
Along Came Polly,2004,121,42,5.8,9785,Comedy,Non_R_Rated
Along Came a Spider,2001,154,28,6.1,9456,Drama,R_rated
Amadeus,1984,155,18,8.3,36955,Drama,R_rated
